UCSD	BI	UCSF-UBC	UW	FEMALE	MALE	UNKNOWN	SOLID_LIQUID	TYPE
E017	1	0	0	0	1	0	0	NONE	CELLLINE
E002	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E008	1	0	0	0	1	0	0	NONE	PRIMARYCULTURE
E001	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E015	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E014	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E016	0	1	0	0	0	1	0	NONE	PRIMARYCULTURE
E003	0.333333333333333	0.333333333333333	0.333333333333333	0	0	1	0	NONE	PRIMARYCULTURE
E024	0	0	1	0	1	0	0	NONE	PRIMARYCULTURE
E020	0	1	0	0	0	1	0	NONE	PRIMARYCULTURE
E019	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E018	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E021	1	0	0	0	0	1	0	NONE	PRIMARYCULTURE
E022	1	0	0	0	0	1	0	NONE	PRIMARYCULTURE
E007	1	0	0	0	0	1	0	NONE	ESCDERIVED
E009	0	1	0	0	1	0	0	NONE	ESCDERIVED
E010	0	1	0	0	1	0	0	NONE	ESCDERIVED
E013	0	1	0	0	0	1	0	NONE	ESCDERIVED
E012	0	1	0	0	0	1	0	NONE	ESCDERIVED
E011	0	1	0	0	0	1	0	NONE	ESCDERIVED
E004	1	0	0	0	0	1	0	NONE	ESCDERIVED
E005	1	0	0	0	0	1	0	NONE	ESCDERIVED
E006	1	0	0	0	0	1	0	NONE	ESCDERIVED
E062	0	0	1	0	0	1	0	LIQUID	PRIMARYCELL
E034	0	0	0	1	0	1	0	LIQUID	PRIMARYCELL
E045	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E033	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E044	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E043	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E039	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E041	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E042	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E040	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E037	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E048	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E038	0	0.5	0.5	0	0.5	0.5	0	LIQUID	PRIMARYCELL
E047	0	0.5	0.5	0	0.5	0.5	0	LIQUID	PRIMARYCELL
E029	0	0	0	1	0	1	0	LIQUID	PRIMARYCELL
E031	0	1	0	0	0.5	0.5	0	LIQUID	PRIMARYCELL
E035	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E051	0	1	0	0	0	1	0	LIQUID	PRIMARYCELL
E050	0	1	0	0	0.5	0.5	0	LIQUID	PRIMARYCELL
E036	0	1	0	0	0	0	1	LIQUID	PRIMARYCELL
E032	0	0	0	1	0	1	0	LIQUID	PRIMARYCELL
E046	0	0	0	1	0	1	0	LIQUID	PRIMARYCELL
E030	0	1	0	0	0	1	0	LIQUID	PRIMARYCELL
E026	0	1	0	0	0	0	1	SOLID	PRIMARYCULTURE
E049	0	1	0	0	0	0	1	SOLID	PRIMARYCULTURE
E025	0	1	0	0	1	0	0	SOLID	PRIMARYCULTURE
E023	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E052	0	1	0	0	0	0	1	SOLID	PRIMARYCULTURE
E055	0	0	1	0	0	1	0	SOLID	PRIMARYCULTURE
E056	0	0	1	0	0	1	0	SOLID	PRIMARYCULTURE
E059	0	0	1	0	0	1	0	SOLID	PRIMARYCULTURE
E061	0	0	1	0	0	1	0	SOLID	PRIMARYCULTURE
E057	0	0	1	0	0	1	0	SOLID	PRIMARYCULTURE
E058	0	0	1	0	0	1	0	SOLID	PRIMARYCULTURE
E028	0	0	1	0	1	0	0	SOLID	PRIMARYCULTURE
E027	0	0	1	0	1	0	0	SOLID	PRIMARYCELL
E054	0	0	1	0	1	0	0	SOLID	PRIMARYCULTURE
E053	0	0	1	0	1	0	0	SOLID	PRIMARYCULTURE
E112	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E093	0	0	0	1	1	0	0	NONE	PRIMARYTISSUE
E071	0	1	0	0	0	1	0	SOLID	PRIMARYTISSUE
E074	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E068	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E069	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E072	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E067	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E073	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E070	0	0	1	0	0	1	0	SOLID	PRIMARYTISSUE
E082	0	0	1	0	1	0	0	SOLID	PRIMARYTISSUE
E081	0	1	0	0	0	0	0	SOLID	PRIMARYTISSUE
E063	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E100	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E108	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E107	0	1	0	0	0	1	0	SOLID	PRIMARYTISSUE
