ID	filepath	color	name	anatomy	type	lab	age	sex	solid_liquid	ethnicity	SD_C	specialgi
E017	statecalls/core/E017_15_coreMarks_mnemonics.bed.gz	#E41A1C	IMR90 fetal lung fibroblasts Cell Line	LUNG	CellLine	UCSD	Other	Female	NA	NA	SD	LUNG
E002	statecalls/core/E002_15_coreMarks_mnemonics.bed.gz	#924965	ES-WA7 Cells	ESC	PrimaryCulture	BI	Other	Female	NA	NA	SD	ESC
E008	statecalls/core/E008_15_coreMarks_mnemonics.bed.gz	#924965	H9 Cells	ESC	PrimaryCulture	UCSD	Other	Female	NA	NA	SD	ESC
E001	statecalls/core/E001_15_coreMarks_mnemonics.bed.gz	#924965	ES-I3 Cells	ESC	PrimaryCulture	BI	Other	Female	NA	NA	SD	ESC
E015	statecalls/core/E015_15_coreMarks_mnemonics.bed.gz	#924965	HUES6 Cells	ESC	PrimaryCulture	BI	Other	Female	NA	NA	SD	ESC
E014	statecalls/core/E014_15_coreMarks_mnemonics.bed.gz	#924965	HUES48 Cells	ESC	PrimaryCulture	BI	Other	Female	NA	NA	SD	ESC
E016	statecalls/core/E016_15_coreMarks_mnemonics.bed.gz	#924965	HUES64 Cells	ESC	PrimaryCulture	BI	Other	Male	NA	NA	SD	ESC
E003	statecalls/core/E003_15_coreMarks_mnemonics.bed.gz	#924965	H1 Cells	ESC	PrimaryCulture	BI;UCSD;UCSF-UBC	Other	Male	NA	NA	SD	ESC
E024	statecalls/core/E024_15_coreMarks_mnemonics.bed.gz	#924965	ES-UCSF4 Cells	ESC	PrimaryCulture	UCSF-UBC	Other	Female	NA	NA	SD	ESC
E020	statecalls/core/E020_15_coreMarks_mnemonics.bed.gz	#69608A	iPS-20b Cells	IPSC	PrimaryCulture	BI	Other	Male	NA	NA	SD	IPSC
E019	statecalls/core/E019_15_coreMarks_mnemonics.bed.gz	#69608A	iPS-18 Cells	IPSC	PrimaryCulture	BI	Other	Female	NA	NA	SD	IPSC
E018	statecalls/core/E018_15_coreMarks_mnemonics.bed.gz	#69608A	iPS-15b Cells	IPSC	PrimaryCulture	BI	Other	Female	NA	NA	SD	IPSC
E021	statecalls/core/E021_15_coreMarks_mnemonics.bed.gz	#69608A	iPS DF 6.9 Cells	IPSC	PrimaryCulture	UCSD	Other	Male	NA	NA	SD	IPSC
E022	statecalls/core/E022_15_coreMarks_mnemonics.bed.gz	#69608A	iPS DF 19.11 Cells	IPSC	PrimaryCulture	UCSD	Other	Male	NA	NA	SD	IPSC
E007	statecalls/core/E007_15_coreMarks_mnemonics.bed.gz	#4178AE	H1 Derived Neuronal Progenitor Cultured Cells	ESC_DERIVED	ESCDerived	UCSD	Other	Male	NA	NA	SD	ESC_DERIVED
E009	statecalls/core/E009_15_coreMarks_mnemonics.bed.gz	#4178AE	H9 Derived Neuronal Progenitor Cultured Cells	ESC_DERIVED	ESCDerived	BI	Other	Female	NA	NA	SD	ESC_DERIVED
E010	statecalls/core/E010_15_coreMarks_mnemonics.bed.gz	#4178AE	H9 Derived Neuron Cultured Cells	ESC_DERIVED	ESCDerived	BI	Other	Female	NA	NA	SD	ESC_DERIVED
E013	statecalls/core/E013_15_coreMarks_mnemonics.bed.gz	#4178AE	hESC Derived CD56+ Mesoderm Cultured Cells	ESC_DERIVED	ESCDerived	BI	Other	Male	NA	NA	SD	ESC_DERIVED
E012	statecalls/core/E012_15_coreMarks_mnemonics.bed.gz	#4178AE	hESC Derived CD56+ Ectoderm Cultured Cells	ESC_DERIVED	ESCDerived	BI	Other	Male	NA	NA	SD	ESC_DERIVED
E011	statecalls/core/E011_15_coreMarks_mnemonics.bed.gz	#4178AE	hESC Derived CD184+ Endoderm Cultured Cells	ESC_DERIVED	ESCDerived	BI	Other	Male	NA	NA	SD	ESC_DERIVED
E004	statecalls/core/E004_15_coreMarks_mnemonics.bed.gz	#4178AE	H1 BMP4 Derived Mesendoderm Cultured Cells	ESC_DERIVED	ESCDerived	UCSD	Other	Male	NA	NA	SD	ESC_DERIVED
